"Plate","Well","Sample","Ct"
1,"A4","0321.1Prt.Dn.1",NA
1,"A5","0321.1Prt.Dn.1",NA
1,"A6","0321.1Prt.Dn.1",NA
1,"B4","0321.1Prt.Dn.2",NA
1,"B5","0321.1Prt.Dn.2",NA
1,"B6","0321.1Prt.Dn.2",NA
1,"B7","0321.2Brn.Up.1",NA
1,"B8","0321.2Brn.Up.1",NA
1,"B9","0321.2Brn.Up.1",NA
1,"C7","0321.2Brn.Up.2",NA
1,"C8","0321.2Brn.Up.2",NA
1,"C9","0321.2Brn.Up.2",NA
1,"D7","0321.2Brn.Up.3",NA
1,"D8","0321.2Brn.Up.3",NA
1,"D9","0321.2Brn.Up.3",NA
1,"F4","0321.1Prt.Up.3",NA
1,"F5","0321.1Prt.Up.3",NA
1,"F6","0321.1Prt.Up.3",NA
2,"D7","0421.2Brn.Up.1",NA
2,"D8","0421.2Brn.Up.1",NA
2,"D9","0421.2Brn.Up.1",NA
2,"F7","0421.2Brn.Up.3",NA
2,"F8","0421.2Brn.Up.3",NA
2,"F9","0421.2Brn.Up.3",NA
3,"D10","0521.3Chk.Up.1",NA
3,"D11","0521.3Chk.Up.1",NA
3,"D12","0521.3Chk.Up.1",NA
3,"F7","0521.2Brn.Up.1",NA
3,"F8","0521.2Brn.Up.1",NA
3,"F9","0521.2Brn.Up.1",NA
3,"G7","0521.2Brn.Up.2",NA
3,"G8","0521.2Brn.Up.2",NA
3,"G9","0521.2Brn.Up.2",NA
3,"H7","0521.2Brn.Up.3",NA
3,"H8","0521.2Brn.Up.3",NA
3,"H9","0521.2Brn.Up.3",NA
4,"A10","0621.2Brn.Up.2",NA
4,"A11","0621.2Brn.Up.2",NA
4,"A12","0621.2Brn.Up.2",NA
4,"B10","0621.2Brn.Up.3",NA
4,"B11","0621.2Brn.Up.3",NA
4,"B12","0621.2Brn.Up.3",NA
4,"H7","0621.2Brn.Up.1",NA
4,"H8","0621.2Brn.Up.1",NA
4,"H9","0621.2Brn.Up.1",NA
5,"B10","0721.2Brn.Up.1",NA
5,"B11","0721.2Brn.Up.1",NA
5,"B12","0721.2Brn.Up.1",NA
5,"C10","0721.2Brn.Up.2",NA
5,"C11","0721.2Brn.Up.2",NA
5,"C12","0721.2Brn.Up.2",NA
5,"D10","0721.2Brn.Up.3",NA
5,"D11","0721.2Brn.Up.3",NA
5,"D12","0721.2Brn.Up.3",NA
6,"D10","0821.2Brn.Up.1",NA
6,"D11","0821.2Brn.Up.1",NA
6,"D12","0821.2Brn.Up.1",NA
6,"E10","0821.2Brn.Up.2",NA
6,"E11","0821.2Brn.Up.2",NA
6,"E12","0821.2Brn.Up.2",NA
6,"F10","0821.2Brn.Up.3",NA
6,"F11","0821.2Brn.Up.3",NA
6,"F12","0821.2Brn.Up.3",NA
9,"A4","1021.2Brn.Up.3",NA
9,"A5","1021.2Brn.Up.3",NA
9,"A6","1021.2Brn.Up.3",NA
9,"A10","1121.1Prt.Up.1",NA
9,"A11","1121.1Prt.Up.1",NA
9,"A12","1121.1Prt.Up.1",NA
9,"B10","1121.1Prt.Up.2",NA
9,"B11","1121.1Prt.Up.2",NA
9,"B12","1121.1Prt.Up.2",NA
9,"C10","1121.1Prt.Up.3",NA
9,"C11","1121.1Prt.Up.3",NA
9,"C12","1121.1Prt.Up.3",NA
9,"E10","1121.2Brn.Dn.2",NA
9,"E11","1121.2Brn.Dn.2",NA
9,"E12","1121.2Brn.Dn.2",NA
9,"F10","1121.2Brn.Dn.3",NA
9,"F11","1121.2Brn.Dn.3",NA
9,"F12","1121.2Brn.Dn.3",NA
10,"A4","1121.2Brn.Up.1",NA
10,"A5","1121.2Brn.Up.1",NA
10,"A6","1121.2Brn.Up.1",NA
10,"A10","1221.1Prt.Dn.2",NA
10,"A11","1221.1Prt.Dn.2",NA
10,"A12","1221.1Prt.Dn.2",NA
10,"B4","1121.2Brn.Up.2",NA
10,"B5","1121.2Brn.Up.2",NA
10,"B6","1121.2Brn.Up.2",NA
10,"B10","1221.1Prt.Dn.3",NA
10,"B11","1221.1Prt.Dn.3",NA
10,"B12","1221.1Prt.Dn.3",NA
10,"C4","1121.2Brn.Up.3",NA
10,"C5","1121.2Brn.Up.3",NA
10,"C6","1121.2Brn.Up.3",NA
10,"C10","1221.1Prt.Up.1",NA
10,"C11","1221.1Prt.Up.1",NA
10,"C12","1221.1Prt.Up.1",NA
11,"A4","1221.2Brn.Dn.2",NA
11,"A5","1221.2Brn.Dn.2",NA
11,"A6","1221.2Brn.Dn.2",NA
11,"C4","1221.2Brn.Up.1",NA
11,"C5","1221.2Brn.Up.1",NA
11,"C6","1221.2Brn.Up.1",NA
11,"D4","1221.2Brn.Up.2",NA
11,"D5","1221.2Brn.Up.2",NA
11,"D6","1221.2Brn.Up.2",NA
11,"E4","1221.2Brn.Up.3",NA
11,"E5","1221.2Brn.Up.3",NA
11,"E6","1221.2Brn.Up.3",NA
13,"A7","0222.2Brn.Up.3",NA
13,"A8","0222.2Brn.Up.3",NA
13,"A9","0222.2Brn.Up.3",NA
13,"A10","0222.5Sqm.Dn.2",NA
13,"A11","0222.5Sqm.Dn.2",NA
13,"A12","0222.5Sqm.Dn.2",NA
13,"C7","0222.3Chk.Dn.2",NA
13,"C8","0222.3Chk.Dn.2",NA
13,"C9","0222.3Chk.Dn.2",NA
13,"C10","0222.5Sqm.Up.1",NA
13,"C11","0222.5Sqm.Up.1",NA
13,"C12","0222.5Sqm.Up.1",NA
13,"D7","0222.3Chk.Dn.3",NA
13,"D8","0222.3Chk.Dn.3",NA
13,"D9","0222.3Chk.Dn.3",NA
13,"E7","0222.3Chk.Up.1",NA
13,"E8","0222.3Chk.Up.1",NA
13,"E9","0222.3Chk.Up.1",NA
13,"F7","0222.3Chk.Up.2",NA
13,"F8","0222.3Chk.Up.2",NA
13,"F9","0222.3Chk.Up.2",NA
13,"G4","0222.2Brn.Up.1",NA
13,"G5","0222.2Brn.Up.1",NA
13,"G6","0222.2Brn.Up.1",NA
13,"H4","0222.2Brn.Up.2",NA
13,"H5","0222.2Brn.Up.2",NA
13,"H6","0222.2Brn.Up.2",NA
7,"F10","0921.2Brn.Up.1",NA
7,"F11","0921.2Brn.Up.1",NA
7,"F12","0921.2Brn.Up.1",NA
8,"A4","0921.2Brn.Up.2",NA
8,"A5","0921.2Brn.Up.2",NA
8,"A6","0921.2Brn.Up.2",NA
8,"B4","0921.2Brn.Up.3",NA
8,"B5","0921.2Brn.Up.3",NA
8,"B6","0921.2Brn.Up.3",NA
8,"E10","1021.2Brn.Up.1",NA
8,"E11","1021.2Brn.Up.1",NA
8,"E12","1021.2Brn.Up.1",NA
8,"F10","1021.2Brn.Up.2",NA
8,"F11","1021.2Brn.Up.2",NA
8,"F12","1021.2Brn.Up.2",NA
12,"E4","0122.2Brn.Up.1",NA
12,"E5","0122.2Brn.Up.1",NA
12,"E6","0122.2Brn.Up.1",NA
12,"F4","0122.2Brn.Up.2",NA
12,"F5","0122.2Brn.Up.2",NA
12,"F6","0122.2Brn.Up.2",NA
12,"G4","0122.2Brn.Up.3",NA
12,"G5","0122.2Brn.Up.3",NA
12,"G6","0122.2Brn.Up.3",NA
14,"D10","0421.2Brn.Up.2",NA
14,"D11","0421.2Brn.Up.2",NA
14,"D12","0421.2Brn.Up.2",NA
15,"C10","1121.2Brn.Dn.3",NA
15,"C11","1121.2Brn.Dn.3",NA
15,"C12","1121.2Brn.Dn.3",NA
15,"F4","0621.2Brn.Up.2",NA
15,"F5","0621.2Brn.Up.2",NA
15,"F6","0621.2Brn.Up.2",NA
16,"B4","1221.2Brn.Dn.1",NA
16,"B5","1221.2Brn.Dn.1",NA
16,"B6","1221.2Brn.Dn.1",NA
17,"C4","0222.3Chk.Up.1",NA
17,"C5","0222.3Chk.Up.1",NA
17,"C6","0222.3Chk.Up.1",NA
17,"F4","0921.4Pad.Up.11.1",NA
17,"F5","0921.4Pad.Up.11.1",NA
17,"F6","0921.4Pad.Up.11.1",NA
